Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Inflation, consumer prices (annual %)","Foreign direct investment, net inflows (% of GDP)",Trade (% of GDP),Gini index,"Population, total",Population growth (annual %),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Literacy rate, adult total (% of people ages 15 and above)","School enrollment, primary (% gross)",Urban population (% of total population),Access to electricity (% of population),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Renewable energy consumption (% of total final energy consumption),Forest area (% of land area),Control of Corruption: Percentile Rank,Political Stability and Absence of Violence/Terrorism: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate,Voice and Accountability: Estimate,Individuals using the Internet (% of population),Research and development expenditure (% of GDP),High-technology exports (% of manufactured exports)
Afghanistan,2000,3521418060,,180.1883694,7.955,,0.004827601,,,19542982,1.443803024,..,55.298,92,..,22.16299057,22.078,4.4,27.44185609,20.97091936,0.054812515,64.76727982,45,1.852781994,4.787233829,-2.438968897,-2.080252647,-1.780660748,-2.031417131,..,..,..
Afghanistan,2001,2813571754,-9.431974068,142.9033644,7.958,,0.024168568,,,19688632,0.742516834,..,55.798,89.3,..,22.90859032,22.169,9.3,27.47358023,20.98234866,0.050196479,64.59757272,45.6,1.852781994,..,..,..,..,..,0.00472257,..,..
Afghanistan,2002,3825701439,28.60000116,182.1740382,7.939,,1.30694987,,,21000256,6.449321478,..,56.454,86.6,..,75.95974731,22.261,14.1,29.67486273,22.54133877,0.046328007,64.41688801,37.8,1.852781994,4.761904716,-2.035033703,-1.81154573,-1.673473239,-1.433421016,0.0045614,..,..
Afghanistan,2003,4520946819,8.832277803,199.6432265,7.922,,1.278493252,,,22645130,7.541018965,..,57.344,83.7,..,96.55368042,22.353,19,31.87558916,24.10033283,0.04675619,64.17623142,36.7,1.852781994,4.761904716,-2.198372364,-1.463107824,-1.5582937,-1.177571177,0.0878913,..,..
Afghanistan,2004,5224896719,1.414117993,221.8305307,7.914,,3.577104201,,,23553551,3.933177688,..,57.944,80.9,..,106.2526627,22.5,23.8,34.09443129,25.66623994,0.039875091,63.82660868,44.2,1.852781994,6.403940678,-2.295682192,-1.511548996,-1.693925261,-1.203033924,0.105809,..,..
Afghanistan,2005,6203256539,11.22971483,254.115276,7.914,12.68626872,4.368673104,,,24411191,3.576508004,..,58.361,78,..,100.2296906,22.703,28.7,36.33122612,27.23918874,0.054638874,63.31902553,33.9,1.852781994,1.463414669,-2.06750989,-1.643440247,-1.662965536,-1.12542963,1.22415,..,..
Afghanistan,2006,6971758282,5.357403247,274.0153923,7.918,6.78459655,3.413772973,,,25442944,4.139678035,..,58.684,75.1,..,103.9322433,22.907,33.5,38.56711933,28.81226623,0.05806718,61.51464943,31.9,1.852781994,1.951219559,-2.219134569,-1.689468622,-1.879004836,-1.110293984,2.10712,..,..
Afghanistan,2007,9747886187,13.82631955,376.3182996,7.908,8.680570785,1.935701714,,,25903301,1.793195727,..,59.111,72.3,..,101.0864563,23.113,38.4,41.0836739,30.46653361,0.079665522,58.08378502,28.8,1.852781994,0.970873773,-2.41337347,-1.708872318,-1.852560043,-1.057653904,1.9,..,..
Afghanistan,2008,10109297048,3.92498382,382.5338072,7.92,26.41866415,0.455360445,,,26427199,2.002333262,..,59.852,69.6,..,103.4139633,23.32,42.4,43.63260872,32.12870461,0.15247927,54.19114381,21.2,1.852781994,0.485436887,-2.69136095,-1.607166886,-1.903307557,-1.168901801,1.84,..,..
Afghanistan,2009,12416152732,21.39052839,453.3873851,7.914,-6.811161089,0.451889146,,,27385307,3.561288374,..,60.364,67,..,99.36972046,23.528,48.3,46.21376265,33.79895774,0.236856939,51.00143731,16.5,1.852781994,0.95693779,-2.71142149,-1.664507627,-1.876118779,-1.375495195,3.55,..,..
